Subject,Start Date,Start Time
LEC 2020 Summer - MAD vs G2,2020-06-12,09:00
LEC 2020 Summer - VIT vs S04,2020-06-12,10:00
LEC 2020 Summer - OG vs SK,2020-06-12,11:00
LEC 2020 Summer - RGE vs XL,2020-06-12,12:00
LEC 2020 Summer - MSF vs FNC,2020-06-12,13:00
LEC 2020 Summer - S04 vs SK,2020-06-13,08:00
LEC 2020 Summer - RGE vs MSF,2020-06-13,09:00
LEC 2020 Summer - XL vs MAD,2020-06-13,10:00
LEC 2020 Summer - FNC vs VIT,2020-06-13,11:00
LEC 2020 Summer - G2 vs OG,2020-06-13,12:00
LEC 2020 Summer - SK vs MAD,2020-06-14,08:00
LEC 2020 Summer - S04 vs RGE,2020-06-14,09:00
LEC 2020 Summer - OG vs MSF,2020-06-14,10:00
LEC 2020 Summer - G2 vs VIT,2020-06-14,11:00
LEC 2020 Summer - FNC vs XL,2020-06-14,12:00
LEC 2020 Summer - VIT vs RGE,2020-06-19,09:00
LEC 2020 Summer - MSF vs SK,2020-06-19,10:00
LEC 2020 Summer - G2 vs S04,2020-06-19,11:00
LEC 2020 Summer - OG vs XL,2020-06-19,12:00
LEC 2020 Summer - FNC vs MAD,2020-06-19,13:00
LEC 2020 Summer - SK vs XL,2020-06-20,08:00
LEC 2020 Summer - MSF vs S04,2020-06-20,09:00
LEC 2020 Summer - VIT vs MAD,2020-06-20,10:00
LEC 2020 Summer - G2 vs RGE,2020-06-20,11:00
LEC 2020 Summer - FNC vs OG,2020-06-20,12:00
LEC 2020 Summer - S04 vs XL,2020-06-26,09:00
LEC 2020 Summer - VIT vs MSF,2020-06-26,10:00
LEC 2020 Summer - G2 vs SK,2020-06-26,11:00
LEC 2020 Summer - MAD vs OG,2020-06-26,12:00
LEC 2020 Summer - FNC vs RGE,2020-06-26,13:00
LEC 2020 Summer - VIT vs SK,2020-06-27,08:00
LEC 2020 Summer - MSF vs XL,2020-06-27,09:00
LEC 2020 Summer - OG vs S04,2020-06-27,10:00
LEC 2020 Summer - MAD vs RGE,2020-06-27,11:00
LEC 2020 Summer - G2 vs FNC,2020-06-27,12:00
LEC 2020 Summer - VIT vs XL,2020-07-03,09:00
LEC 2020 Summer - MAD vs S04,2020-07-03,10:00
LEC 2020 Summer - FNC vs SK,2020-07-03,11:00
LEC 2020 Summer - RGE vs OG,2020-07-03,12:00
LEC 2020 Summer - MSF vs G2,2020-07-03,13:00
LEC 2020 Summer - RGE vs SK,2020-07-04,08:00
LEC 2020 Summer - VIT vs OG,2020-07-04,09:00
LEC 2020 Summer - MSF vs MAD,2020-07-04,10:00
LEC 2020 Summer - FNC vs S04,2020-07-04,11:00
LEC 2020 Summer - G2 vs XL,2020-07-04,12:00
LEC 2020 Summer - SK vs S04,2020-07-17,09:00
LEC 2020 Summer - RGE vs XL,2020-07-17,10:00
LEC 2020 Summer - VIT vs FNC,2020-07-17,11:00
LEC 2020 Summer - MSF vs OG,2020-07-17,12:00
LEC 2020 Summer - G2 vs MAD,2020-07-17,13:00
LEC 2020 Summer - VIT vs SK,2020-07-18,08:00
LEC 2020 Summer - RGE vs S04,2020-07-18,09:00
LEC 2020 Summer - MAD vs XL,2020-07-18,10:00
LEC 2020 Summer - MSF vs FNC,2020-07-18,11:00
LEC 2020 Summer - G2 vs OG,2020-07-18,12:00
LEC 2020 Summer - SK vs XL,2020-07-24,09:00
LEC 2020 Summer - VIT vs OG,2020-07-24,10:00
LEC 2020 Summer - G2 vs S04,2020-07-24,11:00
LEC 2020 Summer - MSF vs RGE,2020-07-24,12:00
LEC 2020 Summer - FNC vs MAD,2020-07-24,13:00
LEC 2020 Summer - VIT vs XL,2020-07-25,08:00
LEC 2020 Summer - MSF vs S04,2020-07-25,09:00
LEC 2020 Summer - G2 vs RGE,2020-07-25,10:00
LEC 2020 Summer - MAD vs SK,2020-07-25,11:00
LEC 2020 Summer - FNC vs OG,2020-07-25,12:00
LEC 2020 Summer - MSF vs SK,2020-07-31,09:00
LEC 2020 Summer - S04 vs XL,2020-07-31,10:00
LEC 2020 Summer - MAD vs OG,2020-07-31,11:00
LEC 2020 Summer - VIT vs G2,2020-07-31,12:00
LEC 2020 Summer - FNC vs RGE,2020-07-31,13:00
LEC 2020 Summer - RGE vs SK,2020-08-01,08:00
LEC 2020 Summer - MSF vs XL,2020-08-01,09:00
LEC 2020 Summer - VIT vs MAD,2020-08-01,10:00
LEC 2020 Summer - OG vs S04,2020-08-01,11:00
LEC 2020 Summer - G2 vs FNC,2020-08-01,12:00
LEC 2020 Summer - VIT vs S04,2020-08-07,09:00
LEC 2020 Summer - OG vs SK,2020-08-07,10:00
LEC 2020 Summer - FNC vs XL,2020-08-07,11:00
LEC 2020 Summer - MAD vs RGE,2020-08-07,12:00
LEC 2020 Summer - MSF vs G2,2020-08-07,13:00
LEC 2020 Summer - VIT vs RGE,2020-08-08,08:00
LEC 2020 Summer - MSF vs MAD,2020-08-08,09:00
LEC 2020 Summer - OG vs XL,2020-08-08,10:00
LEC 2020 Summer - G2 vs SK,2020-08-08,11:00
LEC 2020 Summer - FNC vs S04,2020-08-08,12:00
LEC 2020 Summer - VIT vs MSF,2020-08-09,08:00
LEC 2020 Summer - MAD vs S04,2020-08-09,09:00
LEC 2020 Summer - RGE vs OG,2020-08-09,10:00
LEC 2020 Summer - FNC vs SK,2020-08-09,11:00
LEC 2020 Summer - G2 vs XL,2020-08-09,12:00
